english,urdu
"We said, ""David, We have given you mastery over the land. Judge fairly between people. Do not follow your desires, lest they divert you from God's path: those who wander from His path will have a severe punishment, because they ignore the Day of Reckoning.""",اے داؤد(ع)! ہم نے تم کو زمین میں خلیفہ مقرر کیا ہے پس حق و انصاف کے ساتھ لوگوں میں فیصلہ کیا کرو اور خواہشِ نفس کی پیروی نہ کرو کہ وہ تمہیں اللہ کی راہ سے بھٹکا دے گی اور جو اللہ کی راہ سے بھٹک جاتے ہیں ان کیلئے سخت عذاب ہے اس لئے انہوں نے یوم الحساب (قیامت) کو بھلا دیا ہے۔
And to you in particular.,اور آپ کو خاص طور پر.
You know how I know? Because right now thousands of Lahori men and women are queueing up outside hospitals to donate blood.,کیونکہ اس وقت ہزاروں کی تعداد میں لاہوری مرد اور خواتین اسپتالوں کے باہر خون کا عطیہ دینے کے لئے قطاروں میں کھڑے ہیں۔
He verily deemed that he would never return (unto Allah).,اُس نے سمجھا تھا کہ اسے کبھی پلٹنا نہیں ہے
"“We only feed you for the sake of God. We want from you neither compensation, nor gratitude.",(اور کہتے ہیں کہ) ہم تمہیں صرف اللہ کی خوشنودی کیلئے کھلاتے ہیں نہ تم سے کوئی جزا چاہتے ہیں اورنہ شکریہ۔
"Whenever a chapter is sent down, saying: 'Believe in Allah and struggle with His Messenger' the rich among them asked you to excuse them, saying: 'Leave us with those who are to stay behind'",اور جب کوئی سورہ نازل ہوتا ہے کہ اللہ پر ایمان لے آؤاور رسول کے ساتھ جہاد کرو تو ان ہی کے صاحبانِ حیثیت آپ سے اجازت طلب کرنے لگتے ہیں اور کہتے ہیں کہ ہمیں ان ہی بیٹھنے والوں کے ساتھ چھوڑ دیجئے
"Say: 'Who is the Lord of the heavens and the earth' Say: 'Allah' Say: 'Why then have you chosen guardians other than Him, even though they have neither the power to benefit nor harm themselves' Say: 'Are the blind and the seeing equal? Are darkness and light equal? Or, have they ascribed to Allah associates who create as He creates so that all creation is alike to them?"" Say: 'Allah is the Creator of everything. He is the One, the Conqueror'",(اے رسول) ان سے کہو (پوچھو) آسمانوں اور زمین کا پروردگار کون ہے؟ (خود ہی) بتائیے کہ اللہ (نیز) ان سے کہو۔ کیا تم نے اللہ کو چھوڑ کر کچھ کارساز بنا لئے ہیں؟ جو اپنے نفع و نقصان کا اختیار نہیں رکھتے کہہ دیجئے کہ کیا اندھا اور آنکھوں والا دونوں برابر ہیں اور کیا نور و ظلمت (اندھیرا اور اجالا) یکساں ہیں؟ کیا ان لوگوں نے اللہ کے کچھ ایسے شریک بنائے ہیں جنہوں نے اللہ کی طرح کچھ مخلوق خلق کی ہے؟ جس کی وجہ سے تخلیق کا یہ معاملہ ان پر مشتبہ ہوگیا ہے؟ کہہ دیجیئے کہ ہر چیز کا خالق اللہ ہی ہے وہ یگانہ ہے اور سب پر غالب ہے۔
"He is the All-forgiving, the Most Loving One,",وه بڑا بخشش کرنے واﻻ اور بہت محبت کرنے واﻻ ہے
Follow that which is inspired in thee from thy Lord; there is no Allah save Him; and turn away from the idolaters.,آپ خود اس طریق پر چلتے رہئے جس کی وحی آپ کے رب تعالیٰ کی طرف سے آپ کے پاس آئی ہے، اللہ تعالیٰ کے سوا کوئی ﻻئق عبادت نہیں اور مشرکین کی طرف خیال نہ کیجئے
You can't just abandon them,تم صرف ان کو چھوڑ نہیں سکتا
Flight 866 to Krakozhia will be delayed until further notice. [Guns cock] Do you have an appointment?,کراکوژیہ جانے والی پرواز 866 اگلے اعلان تک موخر کر دی گئی ہے۔ کیا تم نے وقت لیا ہے؟
"They say 'The Merciful has taken a son' Exaltations to Him! No, they are only His honored worshipers,",اور لوگوں نے یہ کہنا شروع کردیا کہ اللہ نے کسی کو بیٹا بنالیا ہے حالانکہ وہ اس امر سے پاک و پاکیزہ ہے بلکہ وہ سب اس کے محترم بندے ہیں
Surely We have revealed the Reminder and We will most surely be its guardian.,بےشک یہ (کتاب) نصیحت ہمیں نے اُتاری ہے اور ہم ہی اس کے نگہبان ہیں
Has the human being not considered that We have created him from a drop of fluid. He is openly quarrelsome.,کیا انسان نے یہ نہیں دیکھا کہ ہم نے اسے ایک تولیدی قطرہ سے پیدا کیا، پھر بھی وہ کھلے طور پر سخت جھگڑالو بن گیا،
what are you talking about? they'll kill her!,کیا کہہ رہے ہو۔۔اسرائیلی فوجی ہمارے ساتھ سمجھ کر اسے مار دیں گے
"They think that AlAhzab (the Confederates) have not yet withdrawn, and if AlAhzab (the Confederates) should come (again), they would wish they were in the deserts (wandering) among the bedouins, seeking news about you (from a far place); and if they (happen) to be among you, they would not fight but little.",وہ سمجھ رہے ہیں کہ کافروں کے لشکر ابھی نہ گئے اور اگر لشکر دوبارہ آئیں تو ان کی خواہش ہوگی کہ کسی طرح گا نؤں میں نکل کر تمہاری خبریں پوچھتے اور اگر وہ تم میں رہتے جب بھی نہ لڑتے مگر تھوڑے
‘Bring it back for me!’ Then he [and others] began to wipe [their] legs and necks.,(بولے کہ) ان کو میرے پاس واپس لے آؤ۔ پھر ان کی ٹانگوں اور گردنوں پر ہاتھ پھیرنے لگے
"Those were some of the prophets on whom Allah did bestow His Grace,- of the posterity of Adam, and of those who We carried (in the Ark) with Noah, and of the posterity of Abraham and Israel of those whom We guided and chose. Whenever the Signs of (Allah) Most Gracious were rehearsed to them, they would fall down in prostrate adoration and in tears.",یہی وه انبیا ہیں جن پر اللہ تعالیٰ نے فضل وکرم کیا جو اوﻻد آدم میں سے ہیں اور ان لوگوں کی نسل سے ہیں جنہیں ہم نے نوح (علیہ السلام) کے ساتھ کشتی میں چڑھا لیا تھا، اور اوﻻد ابراہیم ویعقوب سے اور ہماری طرف سے راه یافتہ اور ہمارے پسندیده لوگوں میں سے۔ ان کے سامنے جب اللہ رحمان کی آیتوں کی تلاوت کی جاتی تھی یہ سجده کرتے اور روتے گڑگڑاتے گر پڑتے تھے
"But when Our signs came to them in all their clarity they said, ""This is clearly sorcery!""",سو جب ان کے پاس ہمارے واضح معجزات پہنچے تو انہوں نے کہا کہ یہ تو کھلا ہوا جادو ہے۔
And they say: When will this promise be (fulfilled) if you are truthful?,یہ لوگ تم سے کہتے ہیں کہ وہ (قیامت کا) وعدہ کب پورا ہو گا اگر تم سچے ہو؟
"And if thou ask them who created them, they will surely say: Allah. How then are they turned away?",اور اگر تم اِن سے پوچھو کہ اِنہیں کس نے پیدا کیا ہے تو یہ خود کہیں گے کہ اللہ نے پھر کہاں سے یہ دھوکا کھا رہے ہیں
Remembereth not man that We created him afore when he was not aught? *Chapter: 19,کیا انسان کو یاد نہیں ہے کہ اس سے پہلے ہم نے اسےبنایا تھا اور وہ کوئی چیز بھی نہ تھا
And you had left the harp alone,اور تم اکیلے ویتا چھوڑ دیا تھا
"He said to his father and to his nation: 'What, are these the statues to which you cling'",جب انہوں نے اپنے مربی باپ اور اپنی قوم سے کہا کہ یہ مورتیاں کیا ہیں جن کے گرد تم حلقہ باندھے ہوئے ہو
"Shall I inform you, (O people!), on whom it is that the evil ones descend?",کیا ہم آپ کو بتائیں کہ شیاطین کس پر نازل ہوتے ہیں
"Surely We have made them to grow into a (new) growth,",بیشک ان حوروں کو ہم نے ایجاد کیا ہے
and from idle talk turn away,اور جو بیہودہ باتوں سے (ہر وقت) کنارہ کش رہتے ہیں،
"And mention in the Book (the Quran) Isma'il (Ishmael). Verily! He was true to what he promised, and he was a Messenger, (and) a Prophet.",اور اس کتاب میں اسماعیلؑ کا ذکر کرو وہ وعدے کا سچا تھا اور رسُول نبی تھا
"And if he be of those who treat (Truth) as Falsehood, who go wrong,",اور اگر وہ جھٹلانے والے گمراہوں میں سے ہے۔
"And (remember) Isma'il (Ishmael), and Idris (Enoch) and Dhul-Kifl (Isaiah), all were from among As-Sabirin (the patient ones, etc.).",اور اسماعیل اور ادریس اور ذوالکفل (علیہم السلام کو بھی یاد فرمائیں)، یہ سب صابر لوگ تھے،
"He who obeys the Messenger, obeys Allah: But if any turn away, We have not sent thee to watch over their (evil deeds).",اس رسول (صلی اللہ علیہ وسلم) کی جو اطاعت کرے اسی نے اللہ تعالیٰ کی فرمانبرداری کی اور جو منھ پھیر لے تو ہم نے آپ کو کچھ ان پر نگہبان بنا کر نہیں بھیجا
"Hast thou not Turned thy vision to the Chiefs of the Children of Israel after (the time of) Moses? they said to a prophet (That was) among them: ""Appoint for us a king, that we May fight in the cause of Allah."" He said: ""Is it not possible, if ye were commanded to fight, that that ye will not fight?"" They said: ""How could we refuse to fight in the cause of Allah, seeing that we were turned out of our homes and our families?"" but when they were commanded to fight, they turned back, except a small band among them. But Allah Has full knowledge of those who do wrong.",بھلا تم نے بنی اسرائیل کی ایک جماعت کو نہیں دیکھا جس نے موسیٰ کے بعد اپنے پیغمبر سے کہا کہ آپ ہمارے لئے ایک بادشاہ مقرر کردیں تاکہ ہم خدا کی راہ میں جہاد کریں۔ پیغمبر نے کہا کہ اگر تم کو جہاد کا حکم دیا جائے تو عجب نہیں کہ لڑنے سے پہلو تہی کرو۔ وہ کہنے لگے کہ ہم راہ خدا میں کیوں نہ لڑیں گے جب کہ ہم وطن سے (خارج) اور بال بچوں سے جدا کردیئے گئے۔ لیکن جب ان کو جہاد کا حکم دیا گیا تو چند اشخاص کے سوا سب پھر گئے۔ اور خدا ظالموں سے خوب واقف ہے
"O you who believe! be careful of (your duty to) Allah and speak the right word,",اے ایمان لانے والو، اللہ سے ڈرو اور ٹھیک بات کیا کرو
And his plaint: ‘My Lord! Indeed these are a people who will not have faith!’,اور قسم ہے رسول کے یا رب پکارنے کی بے شک یہ ایسے لوگ ہیں کہ ایمان نہ لائیں گے
No ropes. Wheels down.,کوئی رسی نہيں سیڑھیوں سے
"You would unscrew it, and you could fire this thing, and it was absolutely silent, but had the power of an AK round.",پھاٹک نمبر 67 - تم ہوائی اڈے میں رہتے ہو؟ - ہاں، دن رات۔
"blazing a trail of dust,",پھر وہ اس (حملے والی) جگہ سے گرد و غبار اڑاتے ہیں،
"So, which of your Lord's bounties will you doubt?”",پس تو اے مخاطب اپنے پروردگار کی کن کن نعمتوں میں شک کرے گا۔
"And of them are some who made a covenant with Allah (saying): ""If He bestowed on us of His Bounty, we will verily, give Sadaqah (Zakat and voluntary charity in Allah's Cause) and will be certainly among those who are righteous.""",اور بعضے ان میں سے وہ ہیں جنہوں نے الله سے عہد کیا تھا کہ اگر وہ ہمیں اپنے فضل سے دے تو ہم ضرور خیرات کیا کریں گے اور نیکو ں میں سےہو جائیں
"Then We would have surely made you taste a double [punishment] in this life and a double [punishment] after death, and then you would have not found for yourself any helper against Us.",پھر تو ہم بھی آپ کو دوہرا عذاب دنیا کا کرتے اور دوہرا ہی موت کا، پھر آپ تو اپنے لئے ہمارے مقابلے میں کسی کو مددگار بھی نہ پاتے
That he may make that which the Satan casteth forth a temptation for those in whose heart is a disease and whose hearts are hardened--and the wrong-doers are in divergence far-off -,تاکہ شیطان کی آمیزش کو ان لوگوں کے لیے آزمائش بنا دے جن کے دلوں میں بیماری ہے اور جن کے دل سخت ہیں اور بے شک ظالم بڑی ضدی میں پڑے ہوئے ہیں
"Bring me ingots of iron' After he had leveled between the two cliffs, he said: 'Blow' And when he made it a fire, he said: 'Bring me molten copper so that I may pour over it'",مجھے لوہے کے تختے لا دو یہاں تک کہ جب دونوں سروں کے بیچ کو برابر کر دیا تو کہا کہ دھونکو یہاں تک کہ جب اسے آگ کر دیا تو کہا کہ تم میرے پاس تانبا لاؤ تاکہ اس پر ڈال دوں
By the Sky and the Night-Visitant (therein);-,آسمان (کی فضائے بسیط اور خلائے عظیم) کی قَسم اور رات کو (نظر) آنے والے کی قَسم،
"And thou shalt see every nation hobbling on their knees, every nation being summoned unto its Book: 'Today you shall be recompensed for that you were doing.",اور آپ دیکھیں گے (کفّار و منکرین کا) ہر گروہ گھٹنوں کے بل گِرا ہوا بیٹھا ہو گا، ہر فرقے کو اس (کے اعمال) کی کتاب کی طرف بلایا جائے گا، آج تمہیں اُن اعمال کا بدلہ دیا جائے گا جو تم کیا کرتے تھے،
"- Will you be, madam.",- تم میمساہب ہو جائے گا.
"A sura that We have sent down and appointed; and We have sent down in it signs, clear signs, that haply you will remember.",یہ ایک سورت ہے جس کو ہم نے نازل کیا ہے، اور اسے ہم نے فرض کیا ہے، اور اس میں ہم نے صاف صاف ہدایات نازل کی ہیں، شاید کہ تم سبق لو
"And some of us are the righteous, and some of us are otherwise; we are sects differing.",اور ہم میں سے بعض نیک کردار ہیں اور بعض کے علاوہ ہیں اور ہم طرح طرح کے گروہ ہیں
"Some Mashable readers are more sympathetic with Facebook, about the outage:",کچھ میش ایبل کے قارئین فیس بک کی بندش کے بارے میں اس کے ساتھ،بہت زیادہ ہمدردی کر رہے ہیں۔
"And whenever any surah is revealed enjoining: ""Believe in Allah and strive (in His Way) along with His Messenger,"" the affluent among them ask you to excuse them, saying: ""Leave us with those who will sit back at home.""",اور جب کوئی سورت نازل ہوتی ہے کہ خدا پر ایمان لاؤ اور اس کے رسول کے ساتھ ہو کر لڑائی کرو تو جو ان میں دولت مند ہیں وہ تم سے اجازت طلب کرتے ہیں اور کہتے ہیں کہ ہمیں تو رہنے ہی دیجیئے کہ جو لوگ گھروں میں رہیں گے ہم بھی ان کے ساتھ رہیں
"We would be inventing lies against God if we returned to your faith after God has delivered us from it. It is not for us to return to it unless God our Lord so willed. Our Lord encompasses all things in His knowledge. We have put our trust in God. Our Lord, expose the truth [and judge] between us and our people, You are the best judge.""",یہ اللہ پر بڑا بہتان ہوگا اگر ہم تمہارے مذہب پرآجائیں جب کہ اس نے ہم کو اس مذہب سے نجات دے دی ہے اور ہمیں حق نہیں ہے کہ ہم تمہارے مذہب پر آجائیں جب تک خدا خود نہ چاہے .ہمارے پروردگار کا علم ہر شے پر حاوی ہے اور ہمارا اعتماد اسی کے اوپر ہے -خدایا تو ہمارے اور ہماری قوم کے درمیان حق سے فیصلہ فرمادے کہ تو بہترین فیصلہ کرنے والا ہے
He said: My Lord! Give me victory over folk who work corruption.,تو لوط نے کہا پروردگار تو اس فساد پھیلانے والی قوم کے مقابلہ میں میری مدد فرما
when the most wretched of them rose up.,جب ان کا بدبخت اٹھ کھڑا ہوا
"Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?",کیا وہ لوگ جنہوں نے (نبیؐ کی بات ماننے سے) انکار کر دیا ہے غور نہیں کرتے کہ یہ سب آسمان اور زمین باہم ملے ہوئے تھے، پھر ہم نے اِنہیں جدا کیا، اور پانی سے ہر زندہ چیز پیدا کی کیا وہ (ہماری اس خلّاقی کو) نہیں مانتے؟
"Go on fighting with them till there is no more a state of tribulation and Allah's way is established instead. Then if they desist from it, there should be no more hostility except against those who had been guilty of cruelty and brutality.",اور ان سے لڑو یہاں تک کہ کوئی فتنہ نہ رہے اور ایک اللہ کی پوجا ہو پھر اگر وہ باز آئیں تو زیادتی نہیں مگر ظالموں پر،
Frank Moses is here to see him.,اس سب کیلئے معذرت۔ بہت بہت شکریہ۔
"UM, HE'S MY MOM'S BOYFRIEND.",UM، وہ میری ماں اور پریمی کے.
By the night when it with draweth.,اور رات کی جب پیٹھ پھیرنے لگے
"Indeed the nearest of all people to Abraham are those who follow him and this prophet and those who have faith, and Allah is the guardian of the faithful.",لوگوں میں سب سے زیادہ قریب ابراھیم کے وہ لوگ تھے جنہوں نے اس کی تابعداری کی اور یہ نبی اور جو اس نبی پر ایمان لائے اور الله ایمان والوں کا دوست ہے
"Surely this is a Reminder; so he who will, takes unto his Lord a way.",بے شک یہ (قرآن) نصیحت ہے، سو جو کوئی چاہے اپنے رب کی طرف (پہنچنے کا) راستہ اِختیار کر لے،
but diminish when they measure or weigh for them.,اور جب لوگوں کو ناپ کر یا تول کر دیتے ہیں تو انہیں گھاٹا دیتے ہیں۔
Thus does Allah seal the hearts of those who have no knowledge.,اسی طرح اللہ ان لوگوں کے دلوں پر مہر لگا دیتا ہے جو جانتے نہیں۔
- I've been taken hostage by... - Fooled you,مجھے اغواء کر لیا گیا ہے تمہیں دھوکہ دے دیا
"it and say, ""It is only plain magic"".","اور کہتے ہیں ""یہ تو صریح جادو ہے"
"If you work righteousness, you work righteousness for yourselves; and if you commit evil, you do so against yourselves. Then, when the second promise comes true, they will make your faces filled with sorrow, and enter the Temple as they entered it the first time, and utterly destroy all that falls into their power.",اب تم نیک عمل کرو گے تو اپنے لئے اور برا کرو گے تو اپنے لئے کرو گے-اس کے بعد جب دوسرے وعدہ کا وقت آگیا تو ہم نے دوسری قوم کو مسلّط کردیا تاکہ تمہاری شکلیں بگاڑ دیں اور مسجد میں اس طرح داخل ہوں جس طرح پہلے داخل ہوئے تھے اور جس چیز پر بھی قابو پالیں اسے باقاعدہ تباہ و برباد کردیں
"For instance, the break-in teams that would break into banks and other embassies, they use techniques that are just sort of unknown to the FBI.",اگلے دن پھر وہی پولیس والا آیا اور پیسے مانگے۔ اس کے بعد پھر آیا، پھر ایا۔ اور میں اسے ہر بار پیسے دیتا رہا، دیتا رہا، دیتا رہا۔ اور آخرکار، پانچویں دن، میں نے ایک چھری نکالی اور اس کے سینے میں گھونپ دی۔
"EVERYONE, TAKE COVER!",سب کا احاطہ لے لو!
"O my father, do not worship Satan. Indeed Satan has ever been, to the Most Merciful, disobedient.",ابّا شیطان کی پرستش نہ کیجیئے۔ بےشک شیطان خدا کا نافرمان ہے
"It is not fitting for a Believer, man or woman, when a matter has been decided by Allah and His Messenger to have any option about their decision: if any one disobeys Allah and His Messenger, he is indeed on a clearly wrong Path.",اور (دیکھو) کسی مومن مرد و عورت کو اللہ اور اس کے رسول کا فیصلہ کے بعد اپنے کسی امر کا کوئی اختیار باقی نہیں رہتا، (یاد رکھو) اللہ تعالیٰ اور اس کے رسول کی جو بھی نافرمانی کرے گا وه صریح گمراہی میں پڑے گا
Unto Allah belongeth the dominion of the heavens and the earth. He giveth life and He taketh it. Except for Him ye have no protector nor helper.,خدا ہی ہے جس کے لیے آسمانوں اور زمینوں کی بادشاہت ہے۔ وہی زندگانی بخشتا ہے (وہی) موت دیتا ہے اور خدا کے سوا تمہارا کوئی دوست اور مددگار نہیں ہے
I will kill you. And bury your body in the woods. Wow.,مجھ سے غلطی ہو گئی۔ تم ایسا کیوں کر رہے ہو، وکٹر؟
"God has indeed fulfilled the vision He vouchsafed to His Messenger truly: 'You shall enter the Holy Mosque, if God wills, in security, your heads shaved, your hair cut short, not fearing.' He knew what you knew not, and appointed ere that a nigh victory.",بے شک الله نے اپنے رسول کا خواب سچا کر دکھایا کہ اگر الله نے چاہا تو تم امن کے ساتھ مسجد حرام میں ضرور داخل ہو گے اپنے سر منڈاتے ہوئے اور بال کتراتے ہوئے بے خوف و خطر ہوں گے پس جس بات کو تم نہ جانتے تھے اس نے اسے جان لیا تھا پھر اس نے اس سے پہلےہی ایک فتح بہت جلدی کر دی
"Behold, he saw a fire: So he said to his family, ""Tarry ye; I perceive a fire; perhaps I can bring you some burning brand therefrom, or find some guidance at the fire.""","جب کہ اس نے ایک آگ دیکھی اور اپنے گھر والوں سے کہا کہ "" ذرا ٹھیرو، میں نے ایک آگ دیکھی ہے، شاید کہ تمہارے لیے ایک آدھ انگارا لے آؤں، یا اِس آگ پر مجھے (راستے کے متعلق) کوئی رہنمائی مل جائے"""
And they do not have any knowledge of it; they just follow assumption; and indeed assumption does not serve any purpose in place of the Truth.,حالانکہ انہیں اس کا کوئی علم نہیں ہے وہ مخصوص ظن و گمان کی پیروی کرتے ہیں اور ظنِ حق کے مقابلہ میں ذرا بھی کام نہیں دے سکتا۔
I WOULDA JUST CALLED IN SICK.,میں WOULDA صرف بیمار میں بلایا.
"Allah has prepared for them a grievous chastisement. Indeed, evil are the acts in which they are engaged.",اللہ نے ان کے لیے سخت عذاب مہیا کر رکھا ہے، بڑے ہی برے کرتوت ہیں جو وہ کر رہے ہیں
"Shia in Pakistan make up 20% of the country's Muslim population, which is about 97% of the total population.",اور ایران کے بعد ہے پاکستانی شعیہ مسلم آبدی کا بیس فیصد ہیں، پاکستان میں کل 97 فیصد مسلمان آباد ہیں۔
And what will show you what is the uphill task?,اورتم کیا جانو یہ گھاٹی کیا ہے
"Could you call a doctor, please?",کیا آپ ڈاکٹر کو بلا سکتی ہے؟
"Lance Corporal Mark Bradford's Web testimony to Riordan, who saved his life earlier this year in Iraq, is now spreading like wildfire throughout the media.",Riordan کرنے لانس کارپورل مارک بریڈفورڈ کی ویب شہادت، جو، عراق میں ان کی زندگی اس سال کے اوائل بچایا اب ذرائع ابلاغ بھر میں جنگل کی آگ کی طرح پھیل رہا ہے.
- He's not breathing. - What?,- سانس نہیں ہے.
@DVNJr: Read @ReallyVirtual's stream. He unwittingly tweeted the helicopters' raid on Osama bin Laden's compound.,@DVNJr : پڑھیں @ ورچوئل سٹریم پہ،وہ نادانستہ طور پر اسامہ بن لادن کے احاطے پر ٹویٹڈ کئے گئے 'ہیلی کاپٹر کے حملے۔
Today it is very important.,آج بہت ضروری ہے.
"As for the thief -male or female - cut off the hands of both. This is a recompense for what they have done, and an exemplary punishment from Allah. Allah is All-Mighty, All-Wise.",اور جو مرد یا عورت چور ہو تو ان کا ہاتھ کاٹو ان کے کیے کا بدلہ اللہ کی طرف سے سزا، اور اللہ غالب حکمت والا ہے،
"Those who do not invoke another deity besides Allah, and do not kill a soul [whose life] Allah has made inviolable, except with due cause, and do not commit fornication. (Whoever does that shall encounter its retribution,",اور وہ جو اللہ کے ساتھ کسی دوسرے معبود کو نہیں پوجتے اور اس جان کو جس کی اللہ نے حرمت رکھی ناحق نہیں مارتے اور بدکاری نہیں کرتے اور جو یہ کام کرے وہ سزا پائے گا،
"I let you live, so that you and I could talk.",مگر میں نے ایسا نہیں کیا تیری جان بخش دی تا کہ بات کر سکوں تجھ سے ۔
Then made his reproduction from an extract of an insignificant fluid.,پھر اس کی نسل ایک بے وقعت پانی کے نچوڑ سے چلائی
"Allah, Who is in need of none and of Whom all are in need;",اﷲ سب سے بے نیاز، سب کی پناہ اور سب پر فائق ہے،
Marked from your Lord. And Allah 's punishment is not from the wrongdoers [very] far.,جن میں سے ہر پتھر تیرے رب کے ہاں نشان زدہ تھا اور ظالموں سے یہ سزا کچھ دور نہیں ہے
MAN: Winds are variable.,انسان ہواؤں متغیر ہیں.
"And those who, when they commit an immorality or wrong themselves [by transgression], remember Allah and seek forgiveness for their sins - and who can forgive sins except Allah? - and [who] do not persist in what they have done while they know.",اور وہ کہ جب کوئی کھلا گناہ یا اپنے حق میں کوئی اور برائی کر بیٹھتے ہیں تو خدا کو یاد کرتے اور اپنے گناہوں کی بخشش مانگتے ہیں اور خدا کے سوا گناہ بخش بھی کون سکتا ہے؟ اور جان بوجھ کر اپنے افعال پر اڑے نہیں رہتے
"And We have indeed made the Quran easy to understand and remember, then is there any that will remember (or receive admonition)?",ہم نے اِس قرآن کو نصیحت کے لیے آسان ذریعہ بنا دیا ہے، پھر کیا ہے کوئی نصیحت قبول کرنے والا؟
