english,urdu
daar-ul- hukomt olan batoor ka darjaa hararat -26 cilcus tak gir jata hai.,دار الحکومت اولان‌ باتور کا درجۂ حرارت -26 سیلسیس تک گر جاتا ہے۔
"voice of america ne ibtidai taur par apni nashriyat yakum farwari 1942AD ko 270, medicen avenue, newyork se paish kin.",وائس آف امریکا نے ابتدائی طور پر اپنی نشریات یکم فروری 1942ءکو 270،میڈیسن ایونیو،نیو یارک سے پیش کیں۔
Hazrat Sheikh Maulana Hafiz Mohammad Siddique Boneri,حضرت شیخ مولانا حافظ محمد صدیق بونیری
General Chaudhury kee My Secret Diary ke ba-maujib February 1948 iswi mein mansooba ko qataiyat de dee gayi.,جنرل چودھری کی My Secret Diary کے بموجب فروری 1948 ء میں منصوبہ کو قطیعت دے دی گئی۔
sarzameen kashmir ke kaseer-ul-faizan naqshbandi mujaddidi sheikh tariqat the. aap ke daaman tarbiyat se waabasta ho kar hazaaron log deen wa duniya mein surkhuroo huwe,سرزمین کشمیر کے کثیر الفیضان نقشبندی مجددی شیخ طریقت تھے آپ کے دامن تربیت سے وابستہ ہو کر ہزاروں لوگ دین و دنیا میں سرخرو ہوئے
"Maan ka khayal tha ki Hemangwe bhi Music kee taraf raghib hoga lekin Hemangwe ghar se baahar, apne waalid",ماں کا خیال تھا کہ ہمینگوئے بھی میوزک کی طرف راغب ہوگا لیکن ہمنگوئے گھر سے باہر، اپنے والد
teen saal main hukumat ne IMF ka qarza utar diya.,تین سال میں حکومت نے آئی ایم ایف کا قرضہ اتار دیا۔
solah october 674 mein Umar Farooq ke zamana khilafat mein inteqal farma gayin.,سودہ اکتوبر 674ء میں عمر فاروق کے زمانۂ خلافت میں انتقال فرما گئیں۔
1928 mein haalat jalawatni mein europe chali gayi aur wahan Ho Shiang Ning ke humraah berlin mein muqeem rahi.,1928ء میں حالت جلاوطنی میں یورپ چلی گئی اور وہاں وہ ہو شیانگ ننگ کے ہمراہ برلن میں مقیم رہی۔
is ke baad aap ne mashhoor university aligarh muslim university se M.,اس کے بعد آپ نے مشہور یونیورسٹی علی گڑھ مسلم یونی ورسٹی سے ایم۔
uttar pradesh ki Akhilesh Yadav hukumat mein riyasat ke wazir mamlekat baraaye tawanayi march 2014 se october 2015 tak rahe.,| اترپردیش کی اکھلیش یادو حکومت میں ریاست کے وزیر مملکت برائے توانائیمارچ 2014ء سے اکتوبر 2015ء تک رہے۔
Washington Township Iowa,واشنگٹن ٹاؤن شپ، آئیووا
masjid per hamle ke pesh nazar police ka pehra laga diya gaya.,مسجد پر حملے کے پیشِ نظر پولیس کا پہرا لگا دیا گیا۔
"kante ausaj yaani gharqad ke ped bakasrat the is liye us qabristan ka naam bhi baqee gharqad pad gaya, us ka mahalle wuqu ye he",کانٹے عوسج یعنی غرقد کے پیڑ بکثرت تھے اس لیے اس قبرستان کا نام بھی بقیع غرقد پڑ گیا، اس کا محل وقوع یہ ہے
"tarjuma: tamam taareef aur hamd allah ke liye he, bakasrat, pakiza aur barkat di gai (hamd aur taarif).""",ترجمہ: تمام تعریف اور حمد اللہ کے لیے ہے، بکثرت، پاکیزہ اور برکت دی گئی (حمد اور تعریف)۔“
se qabl 1929 mein Switzerland ke shahar Zurich mein munaqid hone waali sehooni congress ke ijlaas,سے قبل 1929 میں سوئزرلینڈ کے شہر زیورچ میں منعقد ہونے والی صیہونی کانگریس کے اجلاس
aur use muqable ki behtreen khiladi kaha gaya (halanke is khel ko T20 I ka mowaqqif haasil nahin tha),اور اسے مقابلے کی بہترین کھلاڑی کہا گیا (حالانکہ اس کھیل کو ٹی20آئی کا موقف حاصل نہیں تھا)۔
"bunyad rakh di thi; aur us ke agle bhi baras, wise of america, foreign information service ka hissa ban gaya.",بنیاد رکھ دی تھی؛ اور اُس کے اگلے ہی برس، وائس آف امریکا، فارن انفارمیشن سروس کا حصہ بن گیا۔
"is bina par mamlakat ki har dasturi tarmim main farmarawa ke iqtidar shahan ki baqa o ehtiram muqaddam rahe "".","اس بنا پر مملکت کی ہر دستوری ترمیم میں فرمانروا کے اقتدارِ شاہانہ کی بقا و احترام مقدم رہے ""۔"
theek samajh kar shukr ka rawaiya ikhteyaar kare to is ka anjaam kya hoga aur kufr kee raah chale to kis anjaam se wo do-chaar hoga.,ٹھیک سمجھ کر شکر کا رویہ اختیار کرے تو اس کا انجام کیا ہوگا اور کفر کی راہ چلے تو کس انجام سے وہ دوچار ہوگا۔
Arabi aur Farsi ki aala taaleem haasil karne ke sath sath Quran Pak bhi hifz kiya.,عربی اور فارسی کی اعلٰی تعلیم حاصل کرنے کے ساتھ ساتھ قرآن پاک بھی حفظ کیا۔
"unho ne pehli shadi shaikha maryam binte muhammad assani se ki, jo un ke chacha zad shaikh muhammad bin hamd bin abdullah assani ki beti thi.",انہوں نے پہلی شادی شیخہ مریم بنت محمد الثانی سے کی، جو ان کے چچا زاد شیخ محمد بن حمد بن عبد اللہ الثانی کی بیٹی تھی۔
chunancha hum ise aik kaamiyab navel qaraar de sakte hain.,چنانچہ ہم اسے ایک کامیاب ناول قرار دے سکتے ہیں۔
Qatar mein Hindu aabaadi mulki aabaadi ka 13.8% banti hai.,قطر میں ہندو آبادی ملکی آبادی کا 13.8% بنتی ہے۔
woh msh-hor-e zamana film series three اسٹوجیز ki bhi aik film mein kaam kar chuki hain.,وہ مشہورِ زمانہ فلم سیریز تھری اسٹوجیز کی بھی ایک فلم میں کام کر چکی ہیں۔
hai ke islam ke bardasht se mutaliq paigham ko islam ki rooh se nawaqif maghrabi duniya ke,ہے کہ اسلام کے برداشت سے متعلق پیغام کو اسلام کی روح سے ناواقف مغربی دنیا کے
is ka zamaana taqreeban 3000 qaaf meem samjha jaata hai.,اس کا زمانہ تقریباً 3000 ق م سمجھا جاتا ہے۔
"in ke qabayel yaani qareeza, bani nazeer aur bni qeenqa madina mein aabaad huwe aur nabi karim Sallallahu Alaihi Wasallam ki wahan aamad ke waqt wahan maujoot the.",ان کے قبائل بنی قریَظہ، بنی نَضِیر اور بنی قینقاع مدینہ میں آباد ہوئے اور نبی کریم صلی اللہ علیہ وسلم کی وہاں آمد کے وقت وہاں موجود تھے۔
24 april ko unho ne all india congress ijlaas mein unho ne apni taqreer mein kaha ke hyderabad hindustan ke seene per aik,24 اپریل کو انہوں نے آل انڈیا کانگریس اجلاس میں انہوں نے اپنی تقریر میں کہا کہ حیدرآباد ہندوستان کے سینے پر ایک
ke liye intekhaab jin kee aamad ke saath hi Nawab Ali Yawar Jung aur Zain Yar Jung jaise ghair Hyderabadi mutassab insaanon kee aamad shuroo ho gayi.,کے لیے انتخاب جن کی آمد کے ساتھ ہی نواب علی یاور جنگ اور زین یار جنگ جیسے غیر حیدرآبادی متعصب انسانوں کی آمد شروع ہو گئی۔
ghambeer masla bin jaye ga ke jis ki rokkk thaam bahut mushkil ho jaye gi magar mutaliqa sarkari,گھمبیر مسئلہ بن جائے گا کہ جس کی روک تھام بہت مشکل ہو جائے گی مگر متعلقہ سرکاری
chaar hazar saal puraane Ur-Nammu ke qanoon mein aur paune chaar hazaar saal purane Hammurabi ke qanoon mein bhi is se mushaba misaalein maujood hain.,چار ہزار سال پرانے Ur-Nammu کے قانون میں اور پونے چار ہزار سال پرانے حمورابی کے قانون میں بھی اس سے مشابہ مثالیں موجود ہیں۔
dopahar mein kucch waqt aaraam ke baad bachche sham kee chaai peete aur khel kood mein waqt guzaarte hain jis ke baad asaatzah unhein home work karaate hain.,دوپہر میں کچھ وقت آرام کے بعد بچے شام کی چائے پیتے اور کھیل کود میں وقت گزارتے ہیں جس کے بعد اساتذہ انہیں ہوم ورک کراتے ہیں۔
film ki mosiqi AR rahman ne tartib di jis ne khub shohrat sameti.,فلم کی موسیقی اے آر رحمٰن نے ترتیب دی جس نے خوب شہرت سمیٹی۔
Srinagar ke ek mutawassut kunbe mein paida huye.,سرینگر کے ایک متوسط کنبے میں پیدا ہوئے۔
ginti mein ise aath sau tiraasi bola jaata hai.,گنتی میں اسے آٹھ سو تریاسی بولا جاتا ہے۔
qeematon ke saath currency note ki qeemat ke talluq ko meeyaar banaya jaaye aur qeematon ke ishariya mein aham ashiya aur ujraton ka inderaj kiya jaaye.,قیمتوں کے ساتھ کرنسی نوٹ کی قیمت کے تعلق کو معیار بنایا جائے اور قیمتوں کے اشاریہ میں اہم اشیاء اور اجرتوں کا اندراج کیاجائے۔
fehrist Costarica ke dariya,فہرست کوسٹاریکا کے دریا
aate hain wo ye ki agar-che us waqt Mossad ko Israel ke suragh rasaani ke idaare ki haisiyat,آتے ہیں وہ یہ کہ اگرچے اس وقت موساد کواسرائیل کے سراغرسانی کے ادارے کی حیثیت
ke taur par paish kiya gaya he aur un donon ki nok jhonk se akbar ke darbar main kafi tafreeh ka saman muhayya rehta tha.,کے طور پر پیش کیا گیا ہے اور ان دونوں کی نوک جھونک سے اکبر کے دربار میں کافی تفریح کا سامان مہیا رہتا تھا۔
"aathwen ayate sajdae tilawat: annamal, ayat 26.",آٹھویں آیت سجدہ تلاوت: النمل، آیت 26۔
digar moliyaan taa dar badakhshaan / hameenast azeen paadshaahi nishaan,دگر مولیان تا در بدخشان / همینست ازین پادشاهی نشان
"65 is dauraan mein sikhon ko kadi aazmaaishon se guzarna pada, un ke pur-aman muzaahiron aur be gunaah zaayereen par",65 اس دوران میں سکھوں کو کڑی آزمائشوں سے گزرنا پڑا، ان کے پرامن مظاہروں اور بے گناہ زائرین پر
europiun nasl afrad ki taadad ke hawale se america ke baad argentine main sab se ziyada afrad aan base hen.,یورپی النسل افراد کی تعداد کے حوالے سے امریکا کے بعد ارجنٹائن میں سب سے زیادہ افراد آن بسے ہیں۔
musalman hjri Taqweem (qamri hjri aur shamsi hjri donon) ki bunyaad Mohammad sal-lal- lahu alaihe wa aalehi wa sal-lam ki mecca se madinah hijrat ke waqea ko banatay hain.,مسلمان ہجری تقویم (قمری ہجری اور شمسی ہجری دونوں) کی بنیاد محمد صلی اللہ علیہ و آلہ و سلم کی مکہ سے مدینہ ہجرت کے واقعہ کو بناتے ہیں۔
Donon ne jalse men shirkat ki zahmat nahin ki.,دونوں نے جلسے میں شرکت کی زحمت نہیں کی۔
"film ""Qaidi"" se Salma Mumtaz urooj par pahunch gayi theen.",فلم ’’قیدی‘‘ سے سلمیٰ ممتاز عروج پر پہنچ گئی تھیں۔
unhein khel kood ka bhi shauq tha.,انھیں کھیل کود کا بھی شوق تھا۔
rasaala Zarbul Iqdaam,رسالہ ضرب الاقدام
"dairatul ma'arif al-islamiya: mazmoon durwesh mohammad pasha, jild 9, safha 282. matbua lahore 1972AD.",دائرۃ المعارف الاسلامیہ: مضمون درویش محمد پاشا، جلد 9، صفحہ 282۔ مطبوعہ لاہور 1972ء۔
"in tashbeehaat mein jo kaif, husne nudrat, jiddat, dil kashi aur dil aawezi hai wo mohtaaje bayaan nahin.",ان تشبیہات میں جو کیف، حسن ندرت، جدت، دل کشی اور دل آویزی ہے وہ محتاج بیان نہیں۔
jab ye rabia nami shakhs hazir huye to nabi kareem sallallahu alyhi wa aalihi wasallam sham ka khan tanawul farma rahe the aap ne unhen khane ke,جب یہ ربیعہ نامی شخص حاضر ہوئے تو نبی کریم صلی اللہ علیہ و آلہ وسلم شام کا کھانا تناول فرما رہے تھے آپ نے انہیں کھانے کے
unhon ne kolkata main assistant projectionist ki haisiyat se apne career ka aaghaz kiya.,انہوں نے کلکتہ میں اسسٹنٹ پراجیکشنسٹ کی حیثیت سے اپنے کیریئرکا آغاز کیا۔
om ki nafsi mualjaati taaqat ko lamahdood tasawwur kiya jaata hai.,اوم کی نفسی معالجاتی طاقت کو لا محدود تصور کیا جاتا ہے۔
"canada main khazindon ki kul 43 aqsam pai jati hen jin main kachwe, chipkaliyan aur sanp shamil hen.",کینیڈا میں خزندوں کی کل 43 اقسام پائی جاتی ہیں جن میں کچھوے، چھپکلیاں اور سانپ شامل ہیں۔
mandarja zel ashaar dekhen ke mehboob ke mukhtalif azaye jismani ka kitni khoubsurti ke sath mazay le le kar bayan karte hain.,مندرجہ زیل اشعار دیکھیں کہ محبوب کے مختلف اعضائے جسمانی کا کتنی خوبصورتی کے ساتھ مزے لے لے کر بیان کرتے ہیں۔
"aaj kal rocket aatish baazi, hathiyaar, satellite ko khala tak pahunchane, insaani khalaai udaan aur khala kee chhaan been ke liye istemaal kiye jaate hain.",آج کل راکٹ آتش بازی، ہتھیار، سَیٹلائٹ کو خلاء تک پہنچانے، انسانی خلائی اڑان اور خلاء کی چھان بین کے لیے استعمال کیے جاتے ہیں۔
ijaazat naama: C C Zero,اجازت نامہ: سی سی زیرو
mere nazdeek Quran ne jo mazmoon lafz mutakabbar se ada kiya hai doosre aasmani saheefon mein wohi mazmoon 'ghayoor' se ada kiya gaya hai.,میرے نزدیک قرآن نے جو مضمون لفظ متکبر سے ادا کیا ہے دوسرے آسمانی صحیفوں میں وہی مضمون ’ غیور ‘ سے ادا کیا گیا ہے۔
"is main ahadeese marfooa maqtooa aur mauqoofa shamil hen, jo saheeh hasan aur zaeef ahadees par mushtamil he.",اس میں احادیث مرفوعہ مقطوعہ اور موقوفہ شامل ہیں، جو صحیح حسن اور ضعیف احادیث پر مشتمل ہے۔
un ki shadi 1842 mein jhansi ke raja ganga drao nawalkar se hui.,ان کی شادی 1842ء میں جھانسی کے راجا گنگا دراؤ نوالکر سے ہوئی۔
"daure awwal main, chris marshal ne mister khan ki maqami masjid ke manager, dave ka kirdar nibhaya tha.",دور اوّل میں، کرس مارشل نے مسٹر خان کی مقامی مسجد کے منیجر، ڈیو کا کردار نبھایا تھا۔
us ki bahaduri ke karname shumali hind main mashhoor hen.,اس کی بہادری کے کارنامے شمالی ہندوستان میں مشہور ہیں۔
si alamat hai. Tum an waahid unhe dekh sakte ho aur woh tumhe dekh sakte hain. un ko dekhne mein kisi qism ki koi mashaqqat nahin hoti. Tumhare,سی علامت ہے تم آن واحد انہیں دیکھ سکتے ہو اور وہ تمہیں دیکھ سکتے ہیں تمہیں ان کو دیکھنے میں کسی قسم کی کوئی مشقت نہیں ہوتی تمہارے
un ke waalid Douglas Stewart Anderson Puna mein fauj mein suprintendent the aur faujiyon mein tankhwaah kee taqseem ka karte the.,ان کے والد ڈوگلس سٹیورٹ اینڈرسن پونا میں فوج میں سپرنٹنڈنٹ تھے اور فوجیوں میں تنخواہ کی تقسیم کا کرتے تھے۔
"yaksaan tasalsul aik amal dar aamad ka, yeh aam tasalsul se ziyada taaqatwar hai.",یکساں تسلسل ایک عمل در آمد کا، یہ عام تسلسل سے زیادہ طاقتور ہے۔
ne farmaya ke fatima alyhis salam ka kufu koi bhi nahi ho sakta adam se le kar tamam ambiya tak siwaye ali alyhis salam ke.,نے فرمایا کہ فاطمہ علیہ السلام کا کفو کوئی بھی نہیں ہو سکتا آدم سے لے کر تمام انبیا تک سوائے علی علیہ السلام کے۔
is douran kayi ghair mulki bhi ighwa kiye gay hain.,اس دوران کئی غیر ملکی بھی اغوا کیے گئے ہیں۔
ek majlis roohani pahli baar jammu mein 1943 mein tashkeel paayi.,ایک مجلس روحانی پہلی بار جموں میں 1943ء میں تشکیل پائی۔
man damb se ek bail kee moorti mili hai jis kee kohaan aur us kee taangon mein suraakh hai.,من دمب سے ایک بیل کی مورتی ملی ہے جس کی کوہان اور اس کی ٹانگوں میں سوراخ ہے۔
"mein imamat ke liye muqarrar huye aur 1997 tak imamat ke farayez anjaam diye, phir kuchh",میں امامت کے لیے مقرر ہوئے اور 1997ء تک امامت کے فرائض انجام دیے، پھر کچھ
Balach Mari pichhle kayi barson se qabaayali muamlaat ke saath saath Baloch mazaahmati tahreek ke aham tareen rahnumaon mein tasawwur kiye jaate rahe aur hukoomate Pakistan ko matloob bhi rahe.,بالاچ مری پچھلے کئی برسوں سے قبائلی معاملات کے ساتھ ساتھ بلوچ مزاحمتی تحریک کے اہم ترین رہنماؤں میں تصور کیے جاتے رہے اور حکومت پاکستان کو مطلوب بھی رہے۔
(sikandariya ki qadamat pasand qatbi maseehiyat) beesada,* بیسادہ (اسکندریہ کی قدامت پسند قبطی مسیحیت)
"teesri aur aakhri qism qazaaye muallaq kee hai, jis tak Allah Taala ke aksar saaleh aur nek bandon kee rasaayi ho sakti hai khwaah wo Allah Taala kee ata se",تیسری اور آخری قسم قضائے معلق کی ہے، جس تک اللہ تعالیٰ کے اکثر صالح اور نیک بندوں کی رسائی ہو سکتی ہے، خواہ وہ اللہ تعالیٰ کی عطا سے
is soorat ka mauzoo insaan ko duniya mein us kee haqeeqee haisiyat se aagaah karna aur ye batana hai ki agar wo apni is haisiyat ko theek,اس سورت کا موضوع انسان کو دنیا میں اس کی حقیقی حیثیت سے آگاہ کرنا اور یہ بتانا ہے کہ اگر وہ اپنی اس حیثیت کو ٹھیک
"Nairobi Africa ke sab se bade takhta barf ka bhi haamil hai, jo Panari Sky Centre kahlaata hai.",نیروبی افریقہ کے سب سے بڑے تختہ برف کا بھی حامل ہے، جو پناری اسکائی سینٹر کہلاتا ہے۔
ke darmiyaan itna faasla hai ki sawaar in donon ke darmiyaan sattar saal tak chalta rahe aur jannat ke aath darwaaze hain aur,کے درمیان اتنا فاصلہ ہے کہ سوار ان دونوں کے درمیان ستر سال تک چلتا رہے اور جنت کے آٹھ دروازے ہیں اور
Prof. Sb. Ne apni is daure vizaarat ko apni zindagi ka tareek baab qaraar diya hai.,پروفیسر صاحب نے اپنی اس دور وزارت کو اپنی زندگی کا تاریک باب قرار دیا ہے۔
aur nizaame Hindustan par ilzaam lagaate rahe hal kee na koi soorat thi na koi aisi shakhsiyat jo samjhaute kee raah paida kar sake.,اور نظام ہندوستان پر الزام لگاتے رہے حل کی نہ کوئی صورت تھی نہ کوئی ایسی شخصیت جو سمجھوتے کی راہ پیدا کر سکے۔
Ghey yuneyon ke shehar,غے یونیوں کے شہر
Ali azmat ke mashhoor gaanon kee fehrist kuchh yoon hai.,علی عظمت کے مشہور گانوں کی فہرست کچھ یوں ہے۔
ibne Jazri ne kaha: ustaaz muhaqqiq zaabit mutqan tambeeh: Imam bazi se takbeeron waali riwaayat mustadrak haakim (3/344) mein aayi hai.,ابن جزری نے کہا: أستاذ محقق ضابط متقن تنبیہ: امام بزی سے تکبیروں والی روایت مستدرک حاکم (3/344) میں آئی ہے۔
khitta qustuntunia yaani qaisar ka dyaar mehdi ummat ki satoot ka nishan paayidaar,خطہ قسطنطنیہ یعنی قیصر کا دیار مہدی امت کی سطوت کا نشان پائدار
Saiyadah Saeedah gaon ke Unani Hakeem kee dukhtar thi.,سیدہ سعیدہ گاؤں کے یونانی حکیم کی دختر تھی۔
ibteda mein muttahda movement (MQM) kahlane waali jamaat se waabasta rahe.,ابتدا میں متحدہ قومی موومنٹ (ایم کیو ایم) کہلانے والی جماعت سے وابستہ رہے۔
kingfisher airlines ka markazi daftar bharat ke airport indra gandhi international airport par waqe he,کنگفشر ایئر لائنز کا مرکزی دفتر بھارت کے ائیر پورٹ اندرا گاندھی انٹرنیشنل ایرپورٹ پر واقع ہے۔
do crore saat lac bachche taaleem haasil karne ke buniyaadi haq se mahroom hain.,دو کروڑ سات لاکھ بچے تعلیم حاصل کرنے کے بنیادی حق سے محروم ہیں۔
"choonke aalmi adabiyat per Sajjad Zaheer ki gehri nigaah thi isi liye unhone Shakespeare (othello), Rabindra Nath Tagore (Gora), Khalil Gibran (Paighambar)",چونکہ عالمی ادبیات پر سجّاد ظہیر کی گہری نگاہ تھی اسی لیے انہوں نے شیکسپیئر (اوتھیلو)، رابندر ناتھ ٹیگور (گورا)، خلیل جبران (پیغمبر)
Gharuddin Allama Abul Hassan Ali Bin Abil Karam Mohammad Bin Mohammad Bin Abdul Karim Bin,غر الدین علامہ ابو الحسن علی بن ابی الکرم محمد بن محمد بن عبد الکریم بن
"talimi idaron se har tarah ke mazhabi, alaqai, lisani, tabqati aur firqa warana taassubat aur nafraton ko taalimi nisab aur talimi idaron se kharij kiya gaya he.",تعلیمی اداروں سے ہر طرح کے مذہبی، علاقائی، لسانی، طبقاتی اور فرقہ وارانہ تعصبات اور نفرتوں کو تعلیمی نصاب اور تعلیمی اداروں سے خارج کیا گیا ہے۔
Ayu ka beta Jaldas tha.,آیو کا بیٹا جلدس تھا۔
jammu Kashmir rout aur Faisala bad charon atraaf railway lienon ka jaal bichhaa ya gyaa vziraabad ka railway station din raat masroof rehta tha.,جموں کشمیر روٹ اور فیصل آباد چاروں اطراف ریلوے لائنوں کا جال بچھا یا گیااور وزیرآباد کاریلوے اسٹیشن دن رات مصروف رہتا تھا۔
arazi raqba ki eikayian (pakistan),اراضی رقبہ کی اکائیاں (پاکستان)
"Scotland ka jail ka mahakma mulk mein maujood 8,500 qaidiyon kee dekh bhaal karta hai.",سکاٹ لینڈ کا جیل کا محکمہ ملک میں موجود 8٫500 قیدیوں کی دیکھ بھال کرتا ہے۔
"taaham jab walid ne wo jareeda dekha to khoob ghussa huye aur jaan use ""denes"" keh kar chidane laga.",تاہم جب والد نے وہ جریدہ دیکھا تو خوب غصہ ہوئے اور جان اُسے ’’ڈینیس‘‘ کہہ کر چڑانے لگا۔
american veterinary medical association ki task force baraaye mutsala aur mutbaadil beetaari adwaya pe zor deiti,امیریکن ویٹیرینیری میڈیکل ایسوسی ایشن کی ٹاسک فورس برائے متصلہ اور متبادل بیطاری ادویہ یہ زور دیتی
pichli char sadyon se is jaga par musalman aur hindu dono ibadat karte aaye hen.,پچھلی چار صدیوں سے اس جگہ پر مسلمان اور ہندو دونوں عبادت کرتے آئے ہیں۔
Umaiah Syedna Saad se mukhatib ho kar kahne laga ke Abu Jahal se aaraam se baat karo.,امیہ سیدنا سعد سے مخاطب ہو کر کہنے لگا کہ ابو جہل سے آرام سے بات کرو۔
nawaasi: Umme Kulsoom binte Abu Bakar,نواسی: ام کلثوم بنت ابوبکر
maulana hafiz Mohammad hashtangri (Hafiz Mohammad umarzari) silsila qadriah aur chishtia ke barey mashhoor buzurag hain.,مولاناحافظ محمد ہشتنگری(حافظ محمد عمرزئ) سلسلہ قادریہ اور چشتیہ کے بڑے مشہور بزرگ ہیں۔
6 december 1992AD ko RSS aur us ke ittehadiyon ne lag bhag dedh lakh afrad masjid ke pas jama kar liye.,6 دسمبر 1992ء کو آر ایس ایس اور اس کے اتحادیوں نے لگ بھگ ڈیڑھ لاکھ افراد مسجد کے پاس جمع کر لیے۔
hayatiyat main nasab ke mutale ko warasiyaat kehte hen.,حیاتیات میں نسب کے مطالعے کو وراثیات کہتے ہیں۔
"Dr. Mohammad Muneer Ahmad Saleech, wafiyaat naamooraane Pakistan, Lahore, Urdu Science Board, Lahore, 2006, Safha 142",ڈاکٹر محمد منیر احمد سلیچ، وفیات ناموران پاکستان، لاہور، اردو سائنس بورڈ، لاہور، 2006ء، ص 142
"oopar parh chuke ho ke imam ibrahim nay abu muslim ko awwal bulaya tha; phras ko rok diya tha ke alania dawat shuru kar day, abu muslim nay qahtaba bin shbib ko maal wa asbab ke",اوپر پڑھ چکے ہو کہ امام ابراہیم نے ابومسلم کواوّل بلایا تھا؛ پھراس کوروک دیا تھا کہ علانیہ دعوت شروع کر دے، ابومسلم نے قحطبہ بن شبیب کومال واسباب کے
hukoomate Kabul kee shaukat roo ba zawaal thi.,حکومت کابل کی شوکت روبہ زوال تھی۔
yeh dawa gurdon ke zariye jism se kharij hoti hai.,یہ دوا گردوں کے ذریعے جسم سے خارج ہوتی ہے۔
