context,question,answer
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,حضرت علی کے  دور خلافت کے بعد  اسلامی خلافت کتنے حصوں میں بٹ گئی؟,"['2', '2', '2']"
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,خلافت راشدہ کے ساتھ دوسری کون سی خلافت کا آغاز ہوا؟,"['خلافت امویہ', 'خلافت امویہ', 'خلافت امویہ']"
علی بن ابی طالب 656ء میں قتل عثمان کے بعد خلیفہ بنے تھے۔ تاہم انھیں معاویہ بن ابو سفیان اور دیگر افراد کی جانب سے مخالفت کا سامنا کرنا پڑا۔ اور نتیجتاً اسلام میں پہلی خانہ جنگی ہوئی۔ اسے پہلا فتنہ بھی کہا جاتا ہے، اس کے بعد اسلامی خلافت دو حصوں میں بٹ گئی اور یوں خلافت راشدہ کے ساتھ خلافت امویہ کا آغاز ہوا۔ پہلے فتنے کا آغاز تیسرے خلیفہ راشد عثمان بن عفان کے 656ء میں قتل سے ہوا جو علی بن ابی طالب کے چار سالہ دور خلافت تک جاری رہا۔ ,حضرت علی کتنے عرصے تک خلیفہ رہے؟,"['چار سال', ' ٤ سال', ' ٤ سال']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",پاکستان کی کل آبادی کتنی ہے؟,"['21 کروڑ', '٢١ کروڑ', '٢١ کروڑ']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",آبادی کے تناسب سے پاکستان کس نمبر پر آتا ہے؟ ,"['5', 'پانچ ', 'پانچویں ']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",رقبے کے لہذ سے پاکستان کس نمبر پر آتا ہے؟,"['تینتیسواں', '33', '٣٣']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",پاکستان ک جنوب میں کتنے کلو میٹر لمبی ساحلی پٹی واقع ہے؟,"['1046 کلومیٹر', '١٠٤٦ کلومیٹر', '١٠٤٦ کلومیٹر']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",پاکستان کے مشرق ميں کون سا ملک واقع ہے؟,"['بھارت', 'ہندوستان', 'ہندوستان']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",پاکستان کے شمال مشرق ميں کون سا ملک واقع ہے؟,"['چین', 'چائنا', 'چائنا']"
"اسلامی جمہوریہ پاکستان جنوبی ایشیا کے شمال مغرب وسطی ایشیا اور مغربی ایشیا کے لیے دفاعی طور پر اہم حصے میں واقع ایک خود مختار اسلامی ملک ہے۔ 21 کروڑ کی آبادی کے ساتھ یہ دنیا کا پانچواں بڑی آبادی والا ملک ہے۔ 881,913 مربع کلومیٹر (340,509 مربع میل) کے ساتھ یہ دنیا کا تینتیسواں بڑے رقبے والا ملک ہے۔ اس کے جنوب میں 1046 کلومیٹر (650 میل) کی ساحلی پٹی ہے جو بحیرہ عرب سے ملتی ہے۔پاکستان کے مشرق ميں بھارت، شمال مشرق ميں چین اور مغرب ميں افغانستان اور ايران واقع ہيں۔ پاکستان کو شمال میں ایک تنگ واخان راہداری تاجکستان سے جدا کرتی ہے جبکہ اس ملک کی سمندری سرحدی حدود عمان کے سمندری حدود سے بھی ملتی ہیں۔",پاکستان کے مغرب ميں کتنے ملک واقع ہیں؟,"['2', '2', '2']"
2004ء میں جنرل مشرف نے شوکت عزیز کو وزیر اعظم بنانے کا فيصلہ کیا ۔ مختصر عرصہ کے لیے چوہدرى شجاعت حسين نے وزیراعظم کی ذمہ داریاں سرانجام دیں اور شوکت عزیز کے قومی اسمبلی کے ممبر منتخب ہونے کے بعد وزارت عظمیٰ سے مستعفی ہو گئے۔ شوکت عزیز قومی اسمبلی کی مدت 15 نومبر 2007ء کو ختم ہونے کے بعد مستعفی ہو گئے۔ 16 نومبر 2007ء کو سینٹ کے چیرمین جناب میاں محمد سومرو نے عبوری وزیر اعظم کا حلف اٹھایا۔,2004 میں پاکستان کے وزیر اعظم کون تھے؟,"['شوکت عزیز', 'شوکت عزیز', 'شوکت عزیز']"
2004ء میں جنرل مشرف نے شوکت عزیز کو وزیر اعظم بنانے کا فيصلہ کیا ۔ مختصر عرصہ کے لیے چوہدرى شجاعت حسين نے وزیراعظم کی ذمہ داریاں سرانجام دیں اور شوکت عزیز کے قومی اسمبلی کے ممبر منتخب ہونے کے بعد وزارت عظمیٰ سے مستعفی ہو گئے۔ شوکت عزیز قومی اسمبلی کی مدت 15 نومبر 2007ء کو ختم ہونے کے بعد مستعفی ہو گئے۔ 16 نومبر 2007ء کو سینٹ کے چیرمین جناب میاں محمد سومرو نے عبوری وزیر اعظم کا حلف اٹھایا۔, شوکت عزیز پاکستان کے وزیر اعظم کب بنے؟,"['2004', '٢٠٠٤', '٢٠٠٤']"
2004ء میں جنرل مشرف نے شوکت عزیز کو وزیر اعظم بنانے کا فيصلہ کیا ۔ مختصر عرصہ کے لیے چوہدرى شجاعت حسين نے وزیراعظم کی ذمہ داریاں سرانجام دیں اور شوکت عزیز کے قومی اسمبلی کے ممبر منتخب ہونے کے بعد وزارت عظمیٰ سے مستعفی ہو گئے۔ شوکت عزیز قومی اسمبلی کی مدت 15 نومبر 2007ء کو ختم ہونے کے بعد مستعفی ہو گئے۔ 16 نومبر 2007ء کو سینٹ کے چیرمین جناب میاں محمد سومرو نے عبوری وزیر اعظم کا حلف اٹھایا۔, شوکت عزیز وزارت عظمیٰ سے کب مستعفی ہوہے؟,"['15 نومبر 2007', '39401', '39401']"
2004ء میں جنرل مشرف نے شوکت عزیز کو وزیر اعظم بنانے کا فيصلہ کیا ۔ مختصر عرصہ کے لیے چوہدرى شجاعت حسين نے وزیراعظم کی ذمہ داریاں سرانجام دیں اور شوکت عزیز کے قومی اسمبلی کے ممبر منتخب ہونے کے بعد وزارت عظمیٰ سے مستعفی ہو گئے۔ شوکت عزیز قومی اسمبلی کی مدت 15 نومبر 2007ء کو ختم ہونے کے بعد مستعفی ہو گئے۔ 16 نومبر 2007ء کو سینٹ کے چیرمین جناب میاں محمد سومرو نے عبوری وزیر اعظم کا حلف اٹھایا۔,16 نومبر 2007ء کو سینٹ کے چیرمین کون منتخب ہوہے؟,"['میاں محمد سومرو', 'میاں محمد سومرو', 'میاں محمد سومرو']"
ولیم شیکسپیئر ایک انگریز مصنف اور شاعر تھا جسے انگریزی زبان میں دنیا کے عظیم ترین مصنفین اور ڈراما نگاروں میں شمار کیا جاتا ہے۔ شیکسپیئر کو عموماً انگلستان کا قومی شاعر کہا جاتا ہے۔ اس کی تصانیف میں تقریباً 38 کھیل،  154 گیت دو لمبی نظمیں اور بہت سی چھوٹی نظمیں شامل ہیں۔ اس کے کھیل دنیا کی سبھی بڑی زبانوں میں ترجمہ ہوچکے ہیں اور کسی بھی دوسرے مصنف کے کھیلوں کی نسبت زیادہ پیش کیے جاتے ہیں۔ شیکسپیئر کے ہاں سٹراٹ فورڈ میں پیدا ہوئے۔ ان کی ابتدائی زندگی کے بارے میں زیادہ معلومات دستیاب نہیں ہیں۔ 1552ء میں ان کی شادی این۔ہاتھوے سے ہوئی اور ان کے تین بچے پیدا ہوئے۔ 1592ء میں وہ لارڈ چیمبرلین کی کمپنی کے ممبر بن گئے جہاں ان کا کام ڈرامے لکھنا تھا۔ وہ ایک پر گو شاعر تھے اور بڑی سرعت کے ساتھ تصنیف و تالیف کا کام کیا کرتے تھے۔ 1597ء میں انہوں نے اپنے آبائی قصبے میں ایک اچھا مکان خریدا اور 1610ء میں وہاں رہائش اختیار کرلی۔ 1616ء میں ان کا انتقال ہوگیا۔ ولیم شیکسپیئر نے ہر قسم کے ڈرامے لکھے یعنی طربیہ، المیہ، تاریخی اور رومانوی۔ ان کے ڈراموں میں نظمیں بھی شامل ہیں جن میں سے بعض حصے اعلیٰ پیمانہ کی شاعری کے معیار کے مطابق ہیں۔ شیکسپیئر کی تحریر میں جدتِ خیال نمایاں ہے اور ساتھ ہی عمق، گہرائی اور متانت بھی پڑھنے والے کو مسحور کردیتی ہے,ولیم شیکسپیئرکون تھا؟,"['شاعر', 'مصنف', 'ڈراما نگار']"
ولیم شیکسپیئر ایک انگریز مصنف اور شاعر تھا جسے انگریزی زبان میں دنیا کے عظیم ترین مصنفین اور ڈراما نگاروں میں شمار کیا جاتا ہے۔ شیکسپیئر کو عموماً انگلستان کا قومی شاعر کہا جاتا ہے۔ اس کی تصانیف میں تقریباً 38 کھیل،  154 گیت دو لمبی نظمیں اور بہت سی چھوٹی نظمیں شامل ہیں۔ اس کے کھیل دنیا کی سبھی بڑی زبانوں میں ترجمہ ہوچکے ہیں اور کسی بھی دوسرے مصنف کے کھیلوں کی نسبت زیادہ پیش کیے جاتے ہیں۔ شیکسپیئر کے ہاں سٹراٹ فورڈ میں پیدا ہوئے۔ ان کی ابتدائی زندگی کے بارے میں زیادہ معلومات دستیاب نہیں ہیں۔ 1552ء میں ان کی شادی این۔ہاتھوے سے ہوئی اور ان کے تین بچے پیدا ہوئے۔ 1592ء میں وہ لارڈ چیمبرلین کی کمپنی کے ممبر بن گئے جہاں ان کا کام ڈرامے لکھنا تھا۔ وہ ایک پر گو شاعر تھے اور بڑی سرعت کے ساتھ تصنیف و تالیف کا کام کیا کرتے تھے۔ 1597ء میں انہوں نے اپنے آبائی قصبے میں ایک اچھا مکان خریدا اور 1610ء میں وہاں رہائش اختیار کرلی۔ 1616ء میں ان کا انتقال ہوگیا۔ ولیم شیکسپیئر نے ہر قسم کے ڈرامے لکھے یعنی طربیہ، المیہ، تاریخی اور رومانوی۔ ان کے ڈراموں میں نظمیں بھی شامل ہیں جن میں سے بعض حصے اعلیٰ پیمانہ کی شاعری کے معیار کے مطابق ہیں۔ شیکسپیئر کی تحریر میں جدتِ خیال نمایاں ہے اور ساتھ ہی عمق، گہرائی اور متانت بھی پڑھنے والے کو مسحور کردیتی ہے,ولیم شیکسپیئرکو کس ملک کا قومی شاعر کہا جاتا ہے؟,"['انگلستان ', 'انگلستان ', 'انگلستان ']"
ولیم شیکسپیئر ایک انگریز مصنف اور شاعر تھا جسے انگریزی زبان میں دنیا کے عظیم ترین مصنفین اور ڈراما نگاروں میں شمار کیا جاتا ہے۔ شیکسپیئر کو عموماً انگلستان کا قومی شاعر کہا جاتا ہے۔ اس کی تصانیف میں تقریباً 38 کھیل،  154 گیت دو لمبی نظمیں اور بہت سی چھوٹی نظمیں شامل ہیں۔ اس کے کھیل دنیا کی سبھی بڑی زبانوں میں ترجمہ ہوچکے ہیں اور کسی بھی دوسرے مصنف کے کھیلوں کی نسبت زیادہ پیش کیے جاتے ہیں۔ شیکسپیئر کے ہاں سٹراٹ فورڈ میں پیدا ہوئے۔ ان کی ابتدائی زندگی کے بارے میں زیادہ معلومات دستیاب نہیں ہیں۔ 1552ء میں ان کی شادی این۔ہاتھوے سے ہوئی اور ان کے تین بچے پیدا ہوئے۔ 1592ء میں وہ لارڈ چیمبرلین کی کمپنی کے ممبر بن گئے جہاں ان کا کام ڈرامے لکھنا تھا۔ وہ ایک پر گو شاعر تھے اور بڑی سرعت کے ساتھ تصنیف و تالیف کا کام کیا کرتے تھے۔ 1597ء میں انہوں نے اپنے آبائی قصبے میں ایک اچھا مکان خریدا اور 1610ء میں وہاں رہائش اختیار کرلی۔ 1616ء میں ان کا انتقال ہوگیا۔ ولیم شیکسپیئر نے ہر قسم کے ڈرامے لکھے یعنی طربیہ، المیہ، تاریخی اور رومانوی۔ ان کے ڈراموں میں نظمیں بھی شامل ہیں جن میں سے بعض حصے اعلیٰ پیمانہ کی شاعری کے معیار کے مطابق ہیں۔ شیکسپیئر کی تحریر میں جدتِ خیال نمایاں ہے اور ساتھ ہی عمق، گہرائی اور متانت بھی پڑھنے والے کو مسحور کردیتی ہے,ولیم شیکسپیئرنے کتنے گیت لکھے ہیں؟,"['154', '١٥٤', '١٥٤']"
