input,label
 ہاہاہاہاہاہا چالیس سالہ صحافت کا بلتکار کردیا حامد میر۔ مولا خوش رکھے 😂,1
ان پر ایک تھریڈ لکھا تھا شئیر کرتا ہوں 💯♥️,0
میں تو مریم باجی کی طرف ہوں😂😂😂,1
جس دن نواز بھگوڑے کو لگا کہ اب برطانوی حکومت مجھے حکومت پاکستان کے حوالے کرنے جا رہے ہیں۔اچانک شیر بن کر اعلان کریگا واپس آنے کا😂,1
چلو تم روٹھ جاؤ میں تمھیں انباکس میں منانے آؤ🤭 🤣🤣🙈💝,0
`` خواب خواہشیں اور لوگ کم ہی ہوں تو بہتر ہے `` 🥀 مرشد🔥,0
"وائس آف امریکہ تجزیہ: پاکستان، آسٹریلیا ٹیسٹ سیریز: پچز پر تنقید اور رنز کے انبار، لیکن فتح پھر بھی آسٹریلیا کے نام

https://t.co/4cNnYcXOR2

#PakvsAus #FawadAlam #HasanAli #ramizraja https://t.co/lx8C3YOkdx",1
 نواز شریف نے عمران خان کو نیا عمران خان بنا دیا ہے لہزا آج کے بعد `` نیو خان `` لکھا اور پکارا جائے 😂😂😂,1
” نفرت کرنے سے ہماری خود کی انرجی ضائع ہوتی ہے بہتر یہی ہے کہ آپ فرض کرلیں وہ وفات پاچکے ہیں “ 🙂💔,1
زیدی صاحب بتا دیں۔آپکے پاس شمالی_علاقہ_جات_کی_سیر کاآخری اور نادر موقع ھے پھر سردیاں آرہی ہیں 😜😁,0
انگور کھٹے ہیں سرکاری حاجن 😂,1
سالاراعظم_1پروموشن لسٹ 2 ❤️ ❤️,0
۵ سختی سے پوچھتے ہیں کہ وارننگ کے باوجود تم دوبارہ یہاں کیوں آئے ہو اور یہ عورت کون ہے پائلٹ بےچارہ تقریباً روتے ہوئے کہتا ہے میری پاویں تہون گردن لاء دیو پر میری بیوی کو بتا دیں کہ کل رات میں کتھے گزاری اے😂 مجنونیاں نمود_عشق,0
تبدیلی آئی ری 😜، ہن گہن مزے تبدیلی دے 😂، بیڈ گورنینس کی تازہ ترین مثال 😏🤐,0
یہ مجھے نہ دے جانا na 🙄😶,0
 شادی اور پروگرام کے موقع پر سب فنکار۔😁 فضول رسم و رواج کےموقع پر سب مالدار۔😉 اور بے نظیر انکم سپورٹ پروگرام آئے تو سب زکواة…,1
اب پتہ نہیں کس کو سب ٹویٹ لائک آرٹی دینا ہو گا ... کس کا حال پوچھتا ہو گا اللہ کرے اس کو کھڈے لائن لگا دے وہ 😜,0
حلیم عادل کے پاس بھی وہی وڈیو ہے جو شہریار آفریدی کے پاس رانا ثناء اللہ کی گرفتاری کے وقت بنی ہوئی تھی کیونکہ جان اللہ کو دینی ہے 😂😂,1
اب قوم اتنی بھی آوارہ نہیں کہ مریم نواز کو بیٹی بناتی پھرے.. 😆,1
مانگ کر کھایا تو کیا کھایا ,0
 وضو سے شکل،قرآن سے عقل اور نماز سے نسل پاک ہوتی ہے 💯❤ محفل_سخن,0
ہمارا بنیادی مسلئہ یہ ہے کہ یہاں صحافی بھی سیاسی ہونا چاہتے ہیں..ماہر معاشیات بھی سیاسی ہونا چاہتے ہیں..لیکن ہاں جب سیاستدان سیاست کرتے ہیں تو اُنھیں تنقید کا نشانہ بنایا جاتا ہے..اگر ہم سب اپنے کام سے کام رکھیں تو یقیناً 70% مسائل خود بخود حل ہوجائیں گے.. https://t.co/GHhnvt6PsJ,1
ہاں ہاں ۔۔جیدی بلکل سولہ آنے درست ہے۔۔۔۔😁,0
ن لیگ نے پیپلز پارٹی کو ڈبو دیا 😠😠😠,0
زبردست کھیلا زرداری صاحب نانی کو سیاست کے الف کا بھی پتا نہیں 😂,1
نکلا ہو ٹڈ اور بندوق سی نکلی گولی کھبی واپس نہی ہوتی 😁,1
کیپٹن صاحب نے ہر سال 18 اکتوبر کو مزار قائد پر آنے کا اعلان کیا ھوا ھے 😂,1
دوسرے کی ہی بجائی جاتی ہے۔😂☺😊,0
بادام رکھے تھے یاداشت بڑھانے کے لئے اب یاد نہی آ رہے کہ رکھے کہاں تھے🤔😒 😂😂😂😂😂😂 بزم_ادب ہماری_جہت رنگ_شعروادب,1
ہاں ہاں ہمیں پتا ہے اگلی کٹھ پتلی بے بی بلاول ہی ہے ۔ سندھ میں رینجرز راج برقرار رکھنے کے لئے بے بی بلاول کو ہر کچھ دن بعد فیڈر دینا ضروری ہوتا ہے ۔ ✋🏾,1
 مکس اچار خراب ہوگیا سرسوں کے تیل کی جگہ کسی نے غلطی سے ڈیزل ڈال دیا⛽ 🤣😂,1
سندھ پولیس کے بڑے افسران شاید شمالی علاقہ جات کی سیر پر ہیں یا پھر کچن گاڈرننگ کی تربیت کے لیے محکمہ زراعت کی کلاس میں ہیں ... 🙏😊😜😁🙏 دل_پہ_مت_لے_یار,1
منہ بیگن جیسا ہے۔۔۔۔۔😱😬🕺🕺,0
یہ گئے تھے نواز شریف کو زیرو کرانے، الٹا کیپٹن صفدر کو بھی ہیرو بنا دیا۔ ,1
او چھڈو جی عشق وشق آؤ چاء پینے آں ☺️,0
پورے بھی ہوتے تو کوئ نہی خریدتا ہر بندہ اس معاملے میں شیخ چلی اور خود کفیل ہے 😜,1
"وقت کا چکر ہے کہ جو 2014,2013 کو پاکستان عوامی تحریک کے احتجاج پہ تنقید کرتے تھے اللہ ان سبکواکٹھا کرکے اسی طرح اور اسی جگہ بھیج رہا ہے۔ لیکن اتنی عوام لاکر ستر دن بیٹھ کے دکھائیں ۔ وہ مارچ تھا ان منافقوں کی مارچی ہوگی انشاءاللہ
#آئےناں_کنٹینرتے
#امربالمعروف",1
نانی تیرے مور کو پولیس لے گئی۔ 😁,1
جنگل میں تو آگ لگ جائے گا 😜😜😜😜😜😜😜😜😜😜😜😜😜😜,0
اگلی لسٹ کیلئےریٹویٹ اورمجھےفالوکریں1000فالوورزحاصل کریں,0
 رپورٹ آنے دو پھر سندھ پولیس کے حوالات میں تم سب کھڑے ہوگے😂,1
ہممم بس ہو رہی 😂😂,0
زندہ باد 🐅✌🐅,0
آئی جی صاحب آج آپکو احساس ھوا ھوگا کے اغوا ھونا کتنا دردناک لمحہ ھے خود کے لئیے بھی اور گھر والوں کے لئیے بھی اللہ تمام لاپتہ افراد کو اپنے حفظ و امان میں رکھے امین۔ 💔💔💔,1
ہن تسی وی اینج دیاں ٹویٹاں کرو گے😁,0
مبین نظر نہیں آ رہا کئى دنوں سے ، آئى ڈى بھی نہیں مل رہا 🤔😳,0
سوشل میڈیا پر سوشل ڈیسٹینسنگ کی بات کرنا جرم ہے 😋😋😋😁😁😁😂😂😂,1
اس کے سوفٹوئیر میں وائرس ہے اسی لیئے اسکی صحافت ذرا بیمارشمار سی ہے,1
اے خدا اپنی دنیا میں ایک اور کمال کر یا عشق آسان کر یا خودکشی حلال کر🙏,0
 مارخورز زندگی ایک پھول ہے اور محبت اسکا شہد 🌹,0
صحیح بات۔۔۔ ویسے بھی ایک آجکل شادیوں کا سیزن ہے، حنا جی کا کام چل جائے گا۔۔۔ 😆,1
'' عورت کی اتنی وفا کافی نہیں؟ کہ وہ تمہارے ساتھ جنت تک کے خواب دیکھتی ہے جبکہ تم اسے پہلو میں بیٹھا کر بھی تین بیویوں کے خواب دیکھ رہے ہوتے ہو_ '' 🙂❤,0
ھاھاھاھاھا۔۔۔😀😆,0
وردی بمقابلہ وردی سندھ بھر میں احتجاجا 30 ایس ایس پیز چھٹی پر چلے گئے اور 25 ڈی آئی جیز نے چھٹی کی درخواست دے دی نواز کا بیانیہ کی سر چڑھ جیت,0
چپ کر ... ..میں تیرا خون پی جاؤں گا😡😡😡,0
😂😂🤣🤣👊👊 خود بھی ویسی بن جاؤ چڑیل,0
 کاغذی پھولوں کا گلدان مہک اٹھتا تھا ... پھر وہاں سے تیری تصویر ہٹا دی میں نے ... 🔥✌️😥 محفل_سخن,0
"@AnwarLodhi کنٹینر اور لانگ مارچ پہ تنقید کرنے والے خود آرہے ہیں 😂😂
#آئےناں_کنٹینرتے https://t.co/CYKy4CBd7R",1
پتا نہیں یہ قاصر کاظمی کدوں ختم ہونا 😂🤦‍♂️,0
اللہ کریم 😃 Azerbaijan,0
پھائی صاب ایتھوں سدھےچلےجاؤ، اگے چوک آؤ گا، فیر ایں نوں ہو جاؤ، فیر چوک آؤ گا فیر ایں نوں ہوجاؤ، فیر ایں نوں ہو کے ایں نوں ہو گے تے گھنٹہ گھر آ جاؤ گا '' مطلب دائیں بائیں کےالفاظ یہاں مستعمل ہی نہیں، اور آپ آدھا گھنٹہ پتہ سمجھنے کے بعد مسکراتے ہوئے بس وہاں سے نکلنے کی کرتے ہیں 👇,1
تسی نانی فوج سے نہیں جیت سکتے تو فیر پنگے کیوں لے رہے ہو۔ مینوں تے لگدا اے ہجے تسی ہور ذلیل ہونا اے 👉,1
جیوے مرشد کامل باھو 💖 رحمتہ اللہ تعالیٰ علیہ,0
تسی نانی فوج سے نہیں جیت سکتے تو فیر پنگے کیوں لے رہے ہو۔ مینوں تے لگدا اے ہجے تسی ہور ذلیل ہونا اے ,1
ویسے تیری جیسی شکل کی ایک کُتی میں نے آپنے ڈیرے پر بھی رکھی ہوئی ہے😂😂,0
پھر تو اکھٹے احتجاج کرتے ہے ہمیں کیوں نکالا 😝,1
"#طنز
کوئی ہندو کوئی مسلم کوئی عیسائی ہے 
سب نے انسان نہ بننے کی قسم کھائی ہے 
#ندا_فاضلی",1
اتنا زور مت لگا کچھ اور نکل جائے گا 😂😂😂,0
ویرے فائدہ وی تے دوویں پاسیوں تہاڈا ای ہونا نا بدلی تے تاویں بدل گئی تے تاویں 😂,0
واہ واہ ویسے اے کی اے 😝,0
صحیح 😁🚶,0
ایک دل کو جیت لینا ہزار قعلوں کو فتح کرنے سے بہتر ہے۔۔۔ ♥,0
 اپوزیشن والے کبھی کہتے ہیں عمران خان کٹھ پُتلی ہے فیصلے کوئی اور کرتا ھے کبھی کہتے ہیں عمران خان ہم سے انتقام لے رہا ھے😂…,1
کاش محشر میں جب ان کی آمد ہو اور بھیجیں سب اُن محمد ﷺ🌼🌹 کی شوکت پہ لاکھوں سلام❤🌼💓🌹💖 ربيع_الأول_مبارک,0
 جب بھی کنڈوم کی کوالٹی چیک کئے بغیر کنڈوم کا استعمال کروگے تو نتیجہ فیاض چوہان جیسا بندہ ہوگا۔ لخد دی لعنت۔✊ BachaKhanO…,0
محترم ففتھ جنریشن اور ہائبرڈ چیف آپ نے تو غزوۂ ہِند کرنا تھا، آپ غزوۂ سندھ کر رہے ہیں۔ StateAboveStateRejected,1
مجھے شاعری ہی نہیں آتی،ویسے ہی کر لیں,0
😂😂😂😂اب آیا ہے اُونٹ پہاڑ کے نیچے,1
دادی بھی نئی ہیں پتر پتر😂,0
حامد میر نے ڪامران خان ڪی شلوار اتار دی آئندہ میری خبر ڪو جھوٹا نا ڪہنا ملوث تھی رینجرز ڪے نہیں، حامد میر👍,1
 نفرتوں کے بازار میں جینے کا الگ ہی مزہ ہے 😋 😎😜لوگ جلنا نہیں چھوڑتے اور ہم جلانا 🔥🔥 محفل_سخن,0
وہ ایسا تو نہیں تھا کہ مجھے یکسر بھلا ڈالے ناجانے اس پہ کیا گزری پلٹ کے ہی نہیں آیا🔥,0
بہت خوب سبحان اللہ 👏💐,0
پٹواری ہر جگہ مفتہ ڈھونڈتے ہیں۔😂,1
آمین..شکریہ.سر❤💓❤,0
تسی ضرور کج کراو گے۔ 🙏😂,0
کدو 200 روپے گَز ٹینڈے 100 روپے فُٹ مولی 300 روپے میـٹر شاعر کا نام بتائیں؟ 😂😂,1
گبر شیرازی صاحبہ کو ہمارے گروپ میں شامل ہونے کی دعوت دو۔۔۔😆😆,0
عمران خان کو یہ کریڈٹ تو دینا پڑے گا کہ اپنے ساتھ ساتھ اپنے لانے والوں کو بهی ذلیل کروا رہا ہے ... اور یوتھیے بےچارے فی سبیل اللہ ذلیل ہو رہے ہيں مان گئے مرشد ایک تیر ميں تین تین شکار۔ 😝 StateAboveStateRejected IGSindh,1
جزاک اللّٰہ الخیر 💐💐,0
هســـــتم بـر آن عـــــهـد ے ڪـہ بســـــتـم تـــــا پـاے جــان بـا شــــــــــاهـــــزاده رضـا پــــــــــہلـوے هـسـتم 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,0
نسلوں سے گھریلو ملازم ہیں یہ بیچارے شریفوں کے۔اپنے مالک کی وفاداری اسی طرح بیچارہ شو کرسکتا ہے۔اسکا دادا شریفوں کا ملازم تھا اور یہ ہوا شریفوں کا تیسری نسل کا ملازم ۔سو یہ بیانات کسی سیاسی ورکر کے نہ سمجھا کریں ،بلکہ یہ بات ایک گھرکے ملازم کی ہے۔اسی لیول کا ری ایکٹ کریں😉😉,0
تمام سندھ پولیس افسران نے اجتماعی طور پہ شمالی علاقوں کی سیر کے لیے چھٹی لی ہے اور لوگوں نے بات کا بتنگڑ بنا لیا ہے۔۔۔۔۔,1
بے بی بلاول، زرا غیرت دکھاؤ اور حکومت سے استعفیٰ دو یا مان لو کہ تم اور تمہارا وزیراعلیٰ سب سے بڑے کٹھ پتلی ہو 😂😂😂,1
تُسی گریٹ او کھاؤ جی 😜😜😜,0
بات کر لیا کرو مجھ سے 💔 موت کا سیزن ہے 😕 کیا پتہ کل کو 😐 ۔ ۔ ۔ ۔ ۔ آپ لوگ پھڑک ہی جاو 😂,0
"""غدار"" چینل جیو کے حامد میر سے عمران خان کی ملاقات..
#یک_رنگی
#sarcasm",1
یہ پہلے تو ایسی نہیں تھیں پر اچانک ہی اتنی تبدیلی آئی ہے تاکہ ہینڈسم وزیر اعظم کے بعد بیوٹیفل وزیر اعظم صاحبہ ملیں ہمیں😝😝,1
شیدا ٹلی نے ٹلی ہوکر ڈھز ڈھز ڈھز😂😂,0
مُلاں فضلونڈو کی بیٹی کو چودے بکرا آنڈو۔ 😜😂😂😂,1
 '' کتنی پیاری گواہی ہے '' اَشْهَدُ اَنَّ مُحَمَّدَالرَّسُوْلُ اللّٰهْ `` ❤️⁩😍,0
 پٹواریوںکیمادرملت بلاول زرداری کا کوئٹہ جلسے میں شرکت سے انکار فضلرحمن کا انقلاب گیا تیل لینے ,1
ایک وہ بھی خنزیر کا بچہ ہے جس نے مادرملت پر بہتان لگائے تھے آج وہ خنزیر کا بچہ غدار گنجے شیطان کا خاص رشتے دار ہے 😡😡😡😡,1
 ایک سے بڑھ کر ایک لطیفہ ہمارےہاں پایا جاتا ہے😄وزیراعلیٰ سِندھ کےمطابق صفدر داماد شریف صاحب نے مزارِ قاٸد پر قانون توڑا ہ…,1
وہ رپلائی تک نہیں کرتی 😒 اور میں اس سے 17 بچوں کی امید لگاے بیٹھا ہوں 🤣🤣,0
"ادارے کی باتیں باہر کرنے کی ضرورت نہیں ہوتی،چیف جسٹس 
ججز خود پر لگے الزامات کا جواب نہیں دے سکتے،چیف جستس
سنی سنائی باتوں پر سوشل میڈیا پر الزامات نہ لگائے جائیں
فیصلوں پر تنقید کریں ججز کی ذات پر نہیں،چیف جسٹس https://t.co/mdVqb6fNlU",1
 یوتھیوں کے دماغ میں نا جانے کونسا کیڑا جو انہیں کہتا ہے تبدیلی ہلے ہور آئے گی بس ساتھ نا چھڈنا 😂,1
عثمان بزدار کا مذاق اڑانے والے، گالیاں دینے والے اپنے صوبے میں آرمی چیف سے مدد مانگ رہے ہیں کہ تحقیقات کریں `` صفدر کو کس نے گرفتار کیا '' 😂 COAS DGISPR Dgranger,1
آمین۔۔جزاک اللہ خیر علی🙌🌷,0
مادر ملت زندہ باد ✌ ایوبی آمررایت مردہ باد 👎 ووٹ کو عزت دو ✌,0
تسسی گل بھولدے نہیں کدو وایكهدا حلے وی کے مشوانی کدی تے مڑ ے گا 😁,0
"@Tabdeeli_Lover @Lalika79 @meddytweets یہ گفتگو ایک مزاح کے طور پر تھی
پورا کلپ سنیں تو بہت دلچسپ ہے",1
لگتا ہے کامران خان کے کوئ ویڈیو PTI کے ہاتھ لگ گئ ہے😂,1
آریحائی فوج نے ملازمت چھوڑ کر کھیتی باڑی کرنے لگے۔ آرائیوں کا پیشہ ذراعت اور باغ بانی ہے۔ پیاز اگانے،کھانے اور سالن کوپیاز کا تڑکا لگانے کا طریقہ بھی تمام اقوام نے انہیں سے سیکھا۔ آرائیں عربی نسل سے ہے مگر عرب سے عجم تک کے سفر میں انکی زبان اور تہذیب میں نمائیاں فرق آیا ہے۔ 👇😅,0
اس آنٹی نے کہیں گائے موتر زیادہ پی لیا ہے جس کی وجہ سے ڈرامہ کر رہی ہے 😂😂😂🖐️,0
پل بھر میں کیسے بدلتے ہیں رشتے اب تو ہر پٹواری جیالا لگتا ہے 🤣😁😝,1
😆😆😆😆یہ چپچپا کیڑا ہے,0
 سنا کے حال پرچم کو مجھے محسوس ہوتا ہے میرے غازی ع میری باتوں کو بہت خوب سنتے ہیں♥️,0
اللہ سوھنا آپ سب کو اپنی حفظ و امان میں رکھے آمین ❤️,0
آپ محلے میں جس سے چاہیں ہمارے بارے میں پوچھ سکتے ہیں بس وہ جو چوتھے نمبر پہ گھر ہے وہاں سے مت پوچھیے گا وہ ہماری پھوپھو کا گھر ہے😔😔😕😒😒🙈,0
پہلے بیچ کو اپنی بے قدری کا احساس ہو رہا ہے 😃,0
"😂جسے مسکرانا نہیں آتا وہ ٹویٹ پڑھ لے، شاید وہ مسکراہٹ نہ روک سکے۔
مگر کرنل افتخار صاحب نے مزاح لکھا ہے، اسلئے گالی بریگیڈ اسلحہ نہ ان پر ضائع کرے اور نہ مجھ پر کیونکہ ابھی پیوٹن نے بھی ادھر آنا ہے😂 https://t.co/ReRDQmm2z0",1
 `` کچھ لوگ محبت کے لیے بنے ہی نہیں ہوتے '' 🔥👏 🥀 '' بس دو چار دن کسی کو اچھے لگ سکتے ہیں '' لیکن ... محبت نہیں ہوتی ان سے اور شا…,0
پڑنے دو 😂😂,0
اگر آپ اپنی بہن کیلئے شیر ہیں تو کسی کی بہن کیلئے کتے مت بنیں 🙂🔥,1
یہ تو عامر لیاقت لگ رہا ہے۔ بے شرمو جو کام نہیں آتا وہ کرتے کیوں ہو😂😂,1
 ❣️ زندگی کو اتنا سیریس لینے کی ضرورت نہیں ہے۔ یہاں سے زندہ بچ کر کوئی نہیں گیا___ عزو,0
میری لوگوں سے نہیں بنتی 💔 مجھے خدا کے پاس جانا ہے 😔,0
یہ پیپلز پارٹی کا لیڈر ہے یا بدمعاش، اور وہ بھی کھسرا ,1
"دو سینئر معتبر صحافی اک  خفیہ ملاقات کی خبر پے آپس میں چڑی  چھکا  کھیل رہے ہیں 
چاہتے ہیں خبر لوگوں کو پتا بھی لگے اور ان کا نام بھی نہ آئے 
بیان میں ادب بھی ہے مزاح  بھی شرارت بھی 
مجھے ڈی  ایم کر دیں میں بتا دیتا ہوں 🤦🏃🏃🏃🏃

@realrazidada @AbsarAlamHaider",1
خان صاحب آپ صرف مہنگائی کم کریں ان اپوزیشن والوں کو ہم نے کراچی لاہور اور گوجرانوالہ کی سڑکوں پر ذلیل نہ کیا تو ہم بھی آپکے سپورٹرز نہیں💪,1
پاکستانی سیاست دو دھڑوں میں تقسیم ہوچکی ہے۔ ایک دھڑا پرو عمران اور دوسرا دھڑا اینٹی عمران ہے جبکہ اپوزیشن پارٹیوں کی الگ الگ شناخت ختم ہوچکی ہے۔ اور یہ عمران خان کی بہت بڑی سیاسی کامیابی ہے 💪,0
 لوگ وہی خوبصورت ہوتے ہیں جن سے بات کر کے دل ہلکا اور پر سکون ہو جائے❤️🔥🔥 ✍️✍️✍️,0
جنی مرضی کوشش کر لو ۔۔مایا نے کج نہیں دسنا تہانو 😂😂😂,0
"#آئےناں_کنٹینرتے
کنٹینر کی سیاست پر تنقید کرنے والے آج خود کنٹینر کی سیاست چاہتے ہیں مگر ان کے پاس نہ
عوامی مقبولیت ہے اور نہ ہی استعداد ۔ ماضی میں کنٹینر کی سیاست آئین کی بالادستی کیلئے تھی ۔ آج ان قومی چوروں کو بچانے کیلئے ہے، جنہیں باشعور پاکستانی عوام مسترد کرچکی ہے۔",1
موسیقی، مخلوط تعلیم اور سیکولرازم کی مخالفت ہی ہماری ترقی کی راہ میں اصل رکاوٹ ہے۔ یہ مخالفت ختم نہ ہوئی تو ہم کبھی ترقی نہیں کرسکیں گے #طنز,1
کچرا پارٹی سے دور جانے لگا ہوں 😜,1
میں خود کو نہیں میئسر تم میرے لیے ترستے ہو 🥀🌝,0
ن لیگ کے پڑھے لکھے سپورٹر سے گذارش ہے کہ گوگل سرچ کرکے لکھے top10 corrupt politician world 🤔😅😅😅,1
تھے ۔ان کی تجارت پورے عرب میں پھیلی ہوئی تھی۔اس دوران ان کا ایک تجارتی قافلہ شام سے لوٹا۔ اس قافلے میں ایک ہزار اونٹ تھے ۔کھانے پینے کی اشیا کے ساتھ جب یہ قافلہ مدینہ کو پہنچاتو لوگوں کو تھوڑی راحت ہوئی ۔بچے بوڑھے خوش ہوئے لیکن جیسے ہی یہ قافلہ مدینہ پہنچا 👇,0
ثابت ہوا کہ ہمیشہ مسکراتے رہیں 😁😃😅😂,0
 ﺍﮔﺮ ﺁﭖ ﻭﺍﻗﻌﯽ ﺧﻮﺩ ﮐﻮ ﺍﻣﯿﺮ ﻣﺤﺴﻮﺱ ﮐﺮﻧﺎ ﭼﺎہتے ﮨﯿﮟ ﺗﻮ ﺍﭘﻨﯽ ﺍﻥ ﭼﯿﺰﻭﮞ ﮐﻮ ﮔﻨﻨﺎ ﺷﺮﻭﻉ ﮐﺮ ﺩﯾﮟ ﺟﻮ ﭘﯿﺴﮯ ﺳﮯ ﻧﮩﯿﮟ ﺧﺮﯾﺪﯼ ﺟﺎ ﺳﮑﺘﯿﮟ♥ فروغ_…,0
کوشش تو بہت کرتے ہیں مگر دن بہ دن بےحیائی بڑھتی جا رہی ہے۔ یہ بھی قیامت کی نشانیاں ہیں رسول اللہﷺ نے فرمایا جب بےحیائی عام ہوجائے تو بھی قیامت کی نشانیوں میں سے نشانی ہے 🙏,0
اپوزیشن کے اتحاد سے ایک فائدہ تو ہوا لعنت الگ الگ بھیجنے کی ضرورت نہیں '' اجتمائی لعنت '' کا آپشن استعمال کریں اور اپنا وقت بچایں 😂🖐️🖐️,1
مجھے بھی نہیں ایڈ کیا گیا ,0
 ہاہاہاہاہ شیرنی ہے شیرنی😍😍😍😍😍😍,0
 ایک بندہ استعفیٰ دے رہا ہے مگر ایک بندہ لے نہیں رہا گیم آن اور دلچسپ مرحلے میں داخل 💪,1
 نہ جی بھر کر دیکھا نہ کچھ بات کی بڑی آرزو تھی ملاقات کی ... ..❣️,0
 پھر تو اسکا چیخنا بنتا ہے😂😂😂😂,0
کیپٹن صفدر کو پہلے تو موقع یا جگہ نہیں ملتی، مل جائے تو چھاپہ پڑ جاتا..😜,1
"مجھے مولوی حضرات پہ بہت غصہ آتا ہے،
جب کسی کے جنازے کے علان میں کہتے ہیں فلاں نماز کے بعد
اب ہمیں پتہ نہیں چلتا نماز کا کیا وقت ہے 😓

#Sarcastic https://t.co/DDvrC8LljD",1
@sanabucha دو ہی صورتوں میں یہ اپوزیشن کے قائم کردہ ایجنٹ نما صحافی اس قدر شدت کے ساتھ دشمنی کرسکتے ہے یا تو عمران خان سے ان کو گھریلو مسئلہ ھے یا پھر جان بوجھ کر پیسہ لیکر تنقید کرنے کا ٹاسک ملا ہوا کوئی تیسرا آپشن سمجھ نہیں آتا مجھے۔۔,1
اسکا بھی اپنے باؤ جی کی طرح خوار ہونے کا وقت ہُوا چاہتا ہے😂😂,1
ہنڑ ویکھو خان صاحب اناں دا کے حشر کر سی😂😂,1
اسی گل دا تے ڈر اے اسی فیر کڑی کتھوں بھر کے دیاں گے ایہنے تے مار دینی اے😂😂😂😂,0
تاریخ گواہ ہے مجھ معصوم کو ہمیشہ چوروں سے ہمدردی رہی ہے 😋😋😋😁😁😁,1
